Service-Based Architecture (SBA) includes W-AGF,<object> Service-Based Architecture (SBA) <relationship> includes <object> W-AGF.,ServiceBasedArchitectureSBA,includes,WAGF,
SEPP is a roaming entity,<object> SEPP <relationship> is <object> roaming entity.,SEPP,is,RoamingEntity,
AMF can operate statelessly,<object> AMF <relationship> can operate <object> statelessly.,AMF,canOperate,Statelessly,
AMF externalizes UE context to UDSF,<object> AMF <relationship> externalizes <object> UE context to UDSF.,AMF,externalizes,UEContextToUDSF,
Externalizing UE context to UDSF enhances horizontal scalability,<object> Externalizing UE context to UDSF <relationship> enhances <object> horizontal scalability.,ExternalizingUEContextToUDSF,enhances,HorizontalScalability,
SMF uses N7 interface,<object> SMF <relationship> uses <object> N7 interface.,SMF,uses,N7Interface,
UPF maintains stateful session information,<object> UPF <relationship> maintains <object> stateful session information.,UPF,maintains,StatefulSessionInformation,
Stateful session information enables precise flow routing,<object> Stateful session information <relationship> enables <object> precise flow routing.,StatefulSessionInformation,enables,PreciseFlowRouting,
NRF supports load-aware NF instance selection,<object> NRF <relationship> supports <object> load-aware NF instance selection.,NRF,supports,LoadAwareNFInstanceSelection,
AUSF leverages HTTP/2 interfaces,<object> AUSF <relationship> leverages <object> HTTP/2 interfaces.,AUSF,leverages,HTTP2Interfaces,
AUSF securely interacts with UDM,<object> AUSF <relationship> securely interacts with <object> UDM.,AUSF,securelyInteractsWith,UDM,
Secure interaction with UDM retrieves authentication keys and vectors,<object> Secure interaction with UDM <relationship> retrieves <object> authentication keys and vectors.,SecureInteractionWithUDM,retrieves,AuthenticationKeysAndVectors,
UDM is a stateful front-end to subscriber data,<object> UDM <relationship> is <object> stateful front-end to subscriber data.,UDM,is,StatefulFrontEndToSubscriberData,
UDR acts as persistent central repository,<object> UDR <relationship> acts as <object> persistent central repository.,UDR,actsAs,PersistentCentralRepository,
UDR supports subscriber data for UDM,<object> UDR <relationship> supports <object> subscriber data for UDM.,UDR,supports,SubscriberDataForUDM,
PCF is inherently stateless,<object> PCF <relationship> is <object> inherently stateless.,PCF,is,InherentlyStateless,
NSSF enables network slicing,<object> NSSF <relationship> enables <object> network slicing.,NSSF,enables,NetworkSlicing,
NSSF selects slice instances,<object> NSSF <relationship> selects <object> slice instances.,NSSF,selects,SliceInstances,
Slice instance selection is based on policies,<object> Slice instance selection <relationship> is based on <object> policies.,SliceInstanceSelection,isBasedOn,Policies,
SEPP enforces inter-PLMN security,<object> SEPP <relationship> enforces <object> inter-PLMN security.,SEPP,enforces,InterPLMNSecurity,
SEPP encrypts control-plane messages,<object> SEPP <relationship> encrypts <object> control-plane messages.,SEPP,encrypts,ControlPlaneMessages,
N3IWF provides secure IPsec tunnels,<object> N3IWF <relationship> provides <object> secure IPsec tunnels.,N3IWF,provides,SecureIPsecTunnels,
Service-Based Architecture (SBA) enables control-plane NFs to expose RESTful APIs,<object> Service-Based Architecture (SBA) <relationship> enables <object> control-plane NFs to expose RESTful APIs.,ServiceBasedArchitectureSBA,enables,ControlPlaneNFsToExposeRESTfulAPIs,
Stateful NF design impacts context management,<object> Stateful NF design <relationship> impacts <object> context management.,StatefulNFDesign,impacts,ContextManagement,
Stateless NF design impacts context management,<object> Stateless NF design <relationship> impacts <object> context management.,StatelessNFDesign,impacts,ContextManagement,
Stateless NF design enables container-based scaling,<object> Stateless NF design <relationship> enables <object> container-based scaling.,StatelessNFDesign,enables,ContainerBasedScaling,
Stateless core NFs require external state repositories,<object> Stateless core NFs <relationship> require <object> external state repositories.,StatelessCoreNFs,require,ExternalStateRepositories,
AMF requires external state repositories,<object> AMF <relationship> requires <object> external state repositories.,AMF,requires,ExternalStateRepositories,
NRF is stateless,<object> NRF <relationship> is <object> stateless.,NRF,is,Stateless,
UDSF functions as shared key-value store,<object> UDSF <relationship> functions as <object> shared key-value store.,UDSF,functionsAs,SharedKeyValueStore,
Shared key-value store holds UE session context,<object> Shared key-value store <relationship> holds <object> UE session context.,SharedKeyValueStore,holds,UESessionContext,
Shared key-value store holds security credentials,<object> Shared key-value store <relationship> holds <object> security credentials.,SharedKeyValueStore,holds,SecurityCredentials,
Container-based stateless deployment enables robust horizontal scaling,<object> Container-based stateless deployment <relationship> enables <object> robust horizontal scaling.,ContainerBasedStatelessDeployment,enables,RobustHorizontalScaling,
Stateless architecture maintains 3GPP compliance,<object> Stateless architecture <relationship> maintains <object> 3GPP compliance.,StatelessArchitecture,maintains,3GPPCompliance,
Stateless architecture preserves standard SBI interfaces,<object> Stateless architecture <relationship> preserves <object> standard SBI interfaces.,StatelessArchitecture,preserves,StandardSBIInterfaces,
Stateless architecture requires only new UDSF endpoints,<object> Stateless architecture <relationship> requires <object> only new UDSF endpoints.,StatelessArchitecture,requires,OnlyNewUDSFEndpoints,
AMF offloads internal memory to UDSF,<object> AMF <relationship> offloads <object> internal memory to UDSF.,AMF,offloads,InternalMemoryToUDSF,
SMF offloads internal memory to UDSF,<object> SMF <relationship> offloads <object> internal memory to UDSF.,SMF,offloads,InternalMemoryToUDSF,
Offloading internal memory to UDSF enables externally state-managed operation,<object> Offloading internal memory to UDSF <relationship> enables <object> externally state-managed operation.,OffloadingInternalMemoryToUDSF,enables,ExternallyStateManagedOperation,
UDSF is optimized for UE-specific metadata,<object> UDSF <relationship> is <object> optimized for UE-specific metadata.,UDSF,is,OptimizedForUESpecificMetadata,
Proactive state push allows AMF to transmit UE context,<object> Proactive state push <relationship> allows <object> AMF to transmit UE context.,ProactiveStatePush,allows,AMFToTransmitUEContext,
AMF transmits UE context to dependent NFs,<object> AMF <relationship> transmits <object> UE context to dependent NFs.,AMF,transmits,UEContextToDependentNFs,
Transmitting UE context to dependent NFs before procedure involvement enables smoother control-plane flow,<object> Transmitting UE context to dependent NFs before procedure involvement <relationship> enables <object> smoother control-plane flow.,TransmittingUEContextToDependentNFsBeforeProcedureInvolvement,enables,SmootherControlPlaneFlow,
Stateless NF deployment reduces operational burden of state synchronization across instances,<object> Stateless NF deployment <relationship> reduces <object> operational burden of state synchronization across instances.,StatelessNFDeployment,reduces,OperationalBurdenOfStateSynchronizationAcrossInstances,
Operational burden of state synchronization occurs during autoscaling,<object> Operational burden of state synchronization <relationship> occurs during <object> autoscaling.,OperationalBurdenOfStateSynchronization,occursDuring,Autoscaling,
Operational burden of state synchronization occurs during rolling updates,<object> Operational burden of state synchronization <relationship> occurs during <object> rolling updates.,OperationalBurdenOfStateSynchronization,occursDuring,RollingUpdates,
Kubernetes-based control-plane orchestration benefits from stateless NF design,<object> Kubernetes-based control-plane orchestration <relationship> benefits from <object> stateless NF design.,KubernetesBasedControlPlaneOrchestration,benefitsFrom,StatelessNFDesign,
Stateless NF design enables auto-replacement of crashed pods,<object> Stateless NF design <relationship> enables <object> auto-replacement of crashed pods.,StatelessNFDesign,enables,AutoReplacementOfCrashedPods,
"Stateless control requires no changes to 3GPP signaling protocols (NAS, NGAP)","<object> Stateless control <relationship> requires <object> no changes to 3GPP signaling protocols (NAS, NGAP).",StatelessControl,requires,NoChangesTo3GPPSignalingProtocolsNASNGAP,
UDSF enables centralized state storage strategies,<object> UDSF <relationship> enables <object> centralized state storage strategies.,UDSF,enables,CentralizedStateStorageStrategies,
Stateless NF instances exhibit lower average CPU usage than stateful NF instances,<object> Stateless NF instances <relationship> exhibit lower average CPU usage than <object> stateful NF instances.,StatelessNFInstances,exhibitLowerAverageCPUUsageThan,StatefulNFInstances,
Lower average CPU usage is due to wait periods during external state retrieval,<object> Lower average CPU usage <relationship> is due to <object> wait periods during external state retrieval.,LowerAverageCPUUsage,isDueTo,WaitPeriodsDuringExternalStateRetrieval,
Queue buildup in AMF propagates to SMF,<object> Queue buildup in AMF <relationship> propagates to <object> SMF.,QueueBuildupInAMF,propagatesTo,SMF,
Queue buildup in AMF propagates to UPF,<object> Queue buildup in AMF <relationship> propagates to <object> UPF.,QueueBuildupInAMF,propagatesTo,UPF,
SMF experiences CPU spikes once state responses are processed,<object> SMF <relationship> experiences <object> CPU spikes once state responses are processed.,SMF,experiences,CPUSpikesOnceStateResponsesAreProcessed,
Transactional stateless NFs increase latency,<object> Transactional stateless NFs <relationship> increase <object> latency.,TransactionalStatelessNFs,increase,Latency,
Transactional stateless NFs increase cost,<object> Transactional stateless NFs <relationship> increase <object> cost.,TransactionalStatelessNFs,increase,Cost,
Transactional stateless NFs perform synchronous state fetches,<object> Transactional stateless NFs <relationship> perform <object> synchronous state fetches.,TransactionalStatelessNFs,perform,SynchronousStateFetches,
Transactional stateless NFs perform JSON deserialization,<object> Transactional stateless NFs <relationship> perform <object> JSON deserialization.,TransactionalStatelessNFs,perform,JSONDeserialization,
Non-blocking stateless strategies improve latency,<object> Non-blocking stateless strategies <relationship> improve <object> latency.,NonBlockingStatelessStrategies,improve,Latency,
Non-blocking stateless strategies improve throughput,<object> Non-blocking stateless strategies <relationship> improve <object> throughput.,NonBlockingStatelessStrategies,improve,Throughput,
Non-blocking stateless strategies use asynchronous state access,<object> Non-blocking stateless strategies <relationship> use <object> asynchronous state access.,NonBlockingStatelessStrategies,use,AsynchronousStateAccess,
Stateless NF designs increase billing costs,<object> Stateless NF designs <relationship> increase <object> billing costs.,StatelessNFDesigns,increase,BillingCosts,
Stateless NF designs operate in cloud environments,<object> Stateless NF designs <relationship> operate in <object> cloud environments.,StatelessNFDesigns,operateIn,CloudEnvironments,
Stateless NF designs cause longer request times,<object> Stateless NF designs <relationship> cause <object> longer request times.,StatelessNFDesigns,cause,LongerRequestTimes,
Longer request times increase runtime charges,<object> Longer request times <relationship> increase <object> runtime charges.,LongerRequestTimes,increase,RuntimeCharges,
